epoch,category,pred_SNR,label_SNR,env_hist_KS
1,carotid,1.0190394178277902,0.8605585231244595,0.28616905212402344
1,muscle,1.1083807820469518,1.0457405854365114,0.40946197509765625
1,phantom,1.5374965979662019,1.4853961800174242,0.45526885986328125
2,carotid,1.0186446826883218,0.8605585231244595,0.28583717346191406
2,muscle,1.107963567012602,1.0457405854365114,0.40912818908691406
2,phantom,1.5366186522672223,1.4853961800174242,0.4547843933105469
3,carotid,1.0182669210547997,0.8605585231244595,0.2855243682861328
3,muscle,1.1076167614768775,1.0457405854365114,0.40878868103027344
3,phantom,1.535556247719001,1.4853961800174242,0.4543342590332031
4,carotid,1.0174276394382376,0.8605585231244595,0.28484535217285156
4,muscle,1.1068283809241897,1.0457405854365114,0.40816688537597656
4,phantom,1.533314023398661,1.4853961800174242,0.45325660705566406
5,carotid,1.016932802440235,0.8605585231244595,0.2844505310058594
5,muscle,1.1064182667516629,1.0457405854365114,0.4078865051269531
5,phantom,1.5319178006228151,1.4853961800174242,0.4526653289794922
6,carotid,1.0163168785518428,0.8605585231244595,0.2839069366455078
6,muscle,1.1058678962895034,1.0457405854365114,0.4074535369873047
6,phantom,1.530253544626923,1.4853961800174242,0.4518280029296875
7,carotid,1.0158435339625367,0.8605585231244595,0.2834339141845703
7,muscle,1.1053896900631799,1.0457405854365114,0.40703392028808594
7,phantom,1.529003691133706,1.4853961800174242,0.45116424560546875
8,carotid,1.015345504962287,0.8605585231244595,0.28301239013671875
8,muscle,1.1049789722673153,1.0457405854365114,0.4065971374511719
8,phantom,1.5277627940531031,1.4853961800174242,0.4505043029785156
9,carotid,1.0145242402270893,0.8605585231244595,0.2824115753173828
9,muscle,1.1042211941233624,1.0457405854365114,0.40596961975097656
9,phantom,1.5255418821509534,1.4853961800174242,0.4495277404785156
10,carotid,1.0140015373010984,0.8605585231244595,0.28200340270996094
10,muscle,1.103769481257414,1.0457405854365114,0.4056529998779297
10,phantom,1.5240327511971556,1.4853961800174242,0.4489307403564453
11,carotid,1.013131075856479,0.8605585231244595,0.28133583068847656
11,muscle,1.1030299387272184,1.0457405854365114,0.4051685333251953
11,phantom,1.5217676488281218,1.4853961800174242,0.4479389190673828
12,carotid,1.0125000484134983,0.8605585231244595,0.2807140350341797
12,muscle,1.1023040786536196,1.0457405854365114,0.4043426513671875
12,phantom,1.5201879561718072,1.4853961800174242,0.4469757080078125
13,carotid,1.0120474766874539,0.8605585231244595,0.28043556213378906
13,muscle,1.101911555197912,1.0457405854365114,0.4040870666503906
13,phantom,1.5191257195178016,1.4853961800174242,0.4465293884277344
14,carotid,1.0114612300341208,0.8605585231244595,0.2798614501953125
14,muscle,1.1012553945112273,1.0457405854365114,0.4033966064453125
14,phantom,1.5178922481915011,1.4853961800174242,0.4456634521484375
15,carotid,1.0106299883405898,0.8605585231244595,0.27924346923828125
15,muscle,1.1006268705907811,1.0457405854365114,0.4030628204345703
15,phantom,1.5153172178895724,1.4853961800174242,0.44482994079589844
16,carotid,1.0098511303405662,0.8605585231244595,0.27866363525390625
16,muscle,1.099785302701608,1.0457405854365114,0.4025001525878906
16,phantom,1.5138017126490293,1.4853961800174242,0.44388389587402344
17,carotid,1.0089872866481795,0.8605585231244595,0.2779884338378906
17,muscle,1.0988936563739795,1.0457405854365114,0.40173912048339844
17,phantom,1.511595635578671,1.4853961800174242,0.4427604675292969
18,carotid,1.0078658511916383,0.8605585231244595,0.2771587371826172
18,muscle,1.0979877956911888,1.0457405854365114,0.4010486602783203
18,phantom,1.5084194457178797,1.4853961800174242,0.44150352478027344
19,carotid,1.007274301547068,0.8605585231244595,0.2765617370605469
19,muscle,1.097314224848987,1.0457405854365114,0.40035438537597656
19,phantom,1.5069133020213903,1.4853961800174242,0.4405803680419922
