epoch,batches,seconds,peak_cuda_mem_gb,pred_max_abs,has_nan,has_inf,available_memory_gb,D_real,D_fake,D_real_score,D_fake_score,D_loss,G_adv_raw,G_struct_raw,G_struct_unnormalized_raw,G_struct_scale,G_carrier_raw,G_adv_weighted,G_struct_weighted,G_carrier_weighted,G_carrier_skipped,G_total
1,350,447.03787755966187,2.608088970184326,280800.875,0,0,52.850372314453125,0.056474831052390595,0.04404911808403475,0.7201918249470847,0.5087535835163934,0.05026197463140956,0.9610720622965268,1.103833385195051,4759.178343680245,4393.196451939174,0.0,0.9610720622965268,1.103833385195051,0.0,1.0,2.064905443532126
2,350,450.13977336883545,2.608088970184326,280802.0,0,0,52.535640716552734,0.008950355554531728,0.0069017631084924294,0.7295141516413007,0.5011199940102441,0.007926059349306992,0.9963302004337311,1.1034452184609005,4757.858398088728,4393.196451939174,0.0,0.9963302004337311,1.1034452184609005,0.0,1.0,2.0997754212788173
3,350,456.1300868988037,2.608088970184326,280805.28125,0,0,52.807640075683594,0.004927924426072943,0.003918262804924909,0.730193350655692,0.5005770599842072,0.004423093620488154,0.9979874403136118,1.1029641652107238,4756.214003557478,4393.196451939174,0.0,0.9979874403136118,1.1029641652107238,0.0,1.0,2.1009516143798828
4,350,460.13758397102356,2.608088970184326,280804.03125,0,0,52.81140899658203,0.0031111068192071147,0.0022721829290302206,0.7305288915974754,0.5003740082468305,0.0026916448901673513,0.9993183045727866,1.1024506967408316,4754.465569545201,4393.196451939174,0.0,0.9993183045727866,1.1024506967408316,0.0,1.0,2.101769005571093
5,350,460.2623825073242,2.608088970184326,280803.625,0,0,52.80392074584961,0.002743832362715953,0.002165883142900254,0.7306371259689332,0.5003091453654426,0.0024548577527249496,0.9997639967714037,1.1018646499088833,4752.474389299665,4393.196451939174,0.0,0.9997639967714037,1.1018646499088833,0.0,1.0,2.101628656727927
6,350,461.3926992416382,2.608088970184326,280800.84375,0,0,52.78338623046875,0.0021278236507038984,0.0016715751411226977,0.7307410068171365,0.5002126074688775,0.0018996994002788727,1.0001438513823917,1.1012325968061174,4750.358845214843,4393.196451939174,0.0,1.0001438513823917,1.1012325968061174,0.0,1.0,2.1013764483588084
7,350,461.05881547927856,2.608088970184326,280822.84375,0,0,52.80891036987305,0.00256924328477388,0.002303628717366207,0.7306635342325483,0.5002395273957934,0.00243643600460408,1.000159444298063,1.1005423079218184,4748.040687081473,4393.196451939174,0.0,1.000159444298063,1.1005423079218184,0.0,1.0,2.1007017530713763
8,350,460.5140974521637,2.608088970184326,280739.1875,0,0,52.8012580871582,0.0015586603971730385,0.0012583676063721734,0.7308438985688346,0.5001451883145741,0.00140851400426722,1.0003860122816903,1.099769356080464,4745.4066692243305,4393.196451939174,0.0,1.0003860122816903,1.099769356080464,0.0,1.0,2.1001553767068044
9,350,461.3619155883789,2.608088970184326,280800.25,0,0,52.77741622924805,0.0017622439951602636,0.0014534665720254583,0.7308259265763419,0.500116965174675,0.0016078552823247654,1.0005184076513562,1.0990360643182482,4742.951487513951,4393.196451939174,0.0,1.0005184076513562,1.0990360643182482,0.0,1.0,2.0995544716290064
10,350,460.6063549518585,2.608088970184326,280795.8125,0,0,52.71750259399414,0.0017363015690352768,0.0015835958290179926,0.7308083942958287,0.5001838668755123,0.0016599487027685557,1.0004954332964762,1.0981154773916517,4739.8062670898435,4393.196451939174,0.0,1.0004954332964762,1.0981154773916517,0.0,1.0,2.098610911369324
11,350,461.5280759334564,2.608088970184326,280696.6875,0,0,52.7646598815918,0.0014981605572393164,0.0012635368599356817,0.7308581462928228,0.5001261063984462,0.001380848714865611,1.0006322113105228,1.0972681881700244,4736.871185477121,4393.196451939174,0.0,1.0006322113105228,1.0972681881700244,0.0,1.0,2.097900398458753
12,350,461.52785897254944,2.608088970184326,280776.9375,0,0,52.79214096069336,0.0014716873601511387,0.0012529806860090632,0.7308805796078274,0.5000659411294119,0.0013623340258241763,1.0006730040482112,1.0964367188726152,4734.047743791853,4393.196451939174,0.0,1.0006730040482112,1.0964367188726152,0.0,1.0,2.09710971900395
13,350,461.0314447879791,2.608088970184326,281079.21875,0,0,52.774070739746094,0.0017875608459663843,0.001579272612247483,0.730804021017892,0.5002011539254869,0.0016834167288782608,1.00092290861266,1.0954303097724916,4730.624137834821,4393.196451939174,0.0,1.00092290861266,1.0954303097724916,0.0,1.0,2.096353222302028
