epoch,batches,seconds,peak_cuda_mem_gb,available_memory_gb,loss,sup_loss,ssim,l1,d_loss,d_real_loss,d_fake_loss,d_real_score_raw,d_fake_score_raw,d_real_score_sigmoid,d_fake_score_sigmoid,g_adv,g_fake_score_raw,g_fake_score_sigmoid,pred_min,pred_max,pred_mean,pred_std,pred_baseline_l1,baseline_gt_l1,pred_gt_l1,has_nan,has_inf,d_loss_train,d_real_loss_train,d_fake_loss_train,d_real_score_raw_train,d_fake_score_raw_train,d_real_score_sigmoid_train,d_fake_score_sigmoid_train,g_adv_train,g_fake_score_raw_train,g_fake_score_sigmoid_train,val_loss,val_ssim,val_l1,val_pred_mean,val_pred_std,val_pred_baseline_l1,val_baseline_gt_l1,d_loss_evalfixed,d_real_loss_evalfixed,d_fake_loss_evalfixed,d_real_score_raw_evalfixed,d_fake_score_raw_evalfixed,d_real_score_sigmoid_evalfixed,d_fake_score_sigmoid_evalfixed,g_adv_evalfixed,g_fake_score_raw_evalfixed,g_fake_score_sigmoid_evalfixed,val_carotid_loss,val_carotid_ssim,val_carotid_l1,val_carotid_pred_std,val_carotid_gt_std,val_muscle_loss,val_muscle_ssim,val_muscle_l1,val_muscle_pred_std,val_muscle_gt_std,val_phantom_loss,val_phantom_ssim,val_phantom_l1,val_phantom_pred_std,val_phantom_gt_std,gcnr_carotid,gcnr_muscle,trainfixed_loss,trainfixed_ssim,trainfixed_l1,trainfixed_pred_mean,trainfixed_pred_std,trainfixed_pred_baseline_l1,trainfixed_baseline_gt_l1,trainfixed_carotid_loss,trainfixed_carotid_ssim,trainfixed_carotid_l1,trainfixed_carotid_pred_std,trainfixed_carotid_gt_std,trainfixed_muscle_loss,trainfixed_muscle_ssim,trainfixed_muscle_l1,trainfixed_muscle_pred_std,trainfixed_muscle_gt_std,trainfixed_phantom_loss,trainfixed_phantom_ssim,trainfixed_phantom_l1,trainfixed_phantom_pred_std,trainfixed_phantom_gt_std,bn_layers,bn_running_mean_mean,bn_running_var_mean
1,175,484.5476610660553,4.071910381317139,42.292999267578125,0.8983243489265442,0.8003528690338135,0.08450986206531524,0.19588235403810228,0.3498050878942013,0.31844617136887143,0.3811640052657042,0.7541181472582477,0.2774347955673667,0.6718999319417136,0.5628833251340049,0.9797147817058223,0.18885631995940846,0.5420108477558409,0.0002603767553537146,0.9999984502792358,0.3715414744189807,0.18354532654796327,0.2878643409694944,0.15036506950855255,0.19588235403810228,0.0,0.0,0.3498050878942013,0.31844617136887143,0.3811640052657042,0.7541181472582477,0.2774347955673667,0.6718999319417136,0.5628833251340049,0.9797147817058223,0.18885631995940846,0.5420108477558409,0.7688277512788773,0.1083174953237176,0.12384050991386175,0.41119327396154404,0.10897179786115885,0.21414665505290031,0.14964335970580578,0.07923839706927538,0.02314888429827988,0.13532791007310152,0.9665734097361565,0.32101829163730145,0.7234612554311752,0.5790282115340233,0.49329138174653053,0.32101829163730145,0.5790282115340233,0.7666977941989899,0.11269052419811487,0.1334867011755705,0.07866569072939456,0.09632845595479012,0.7662070244550705,0.11128789465874434,0.12305547762662172,0.07069096248596907,0.09984172787517309,0.7735784575343132,0.10097407177090645,0.1149793341755867,0.08287417946849018,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7615015432238579,0.11478764191269875,0.11201995331794024,0.4633892849087715,0.08094165020156652,0.20612209476530552,0.1505252756178379,0.7526427432894707,0.12382232956588268,0.1040846211835742,0.02672455902211368,0.10383298806846142,0.756483219563961,0.12045761849731207,0.11042274534702301,0.03445331717375666,0.10098700504750013,0.7753786742687225,0.10008297022432089,0.12155249062925577,0.08033835142850876,0.0976626630872488,21,-0.07486718607002071,12719.055832933813
2,175,502.8716161251068,4.071910381317139,42.26900100708008,0.8493248176574707,0.7679257913998195,0.1089283857175282,0.12141035216195242,0.13259487534207956,0.12336838086800916,0.14182136981614998,0.8034654658181327,0.19897288431313687,0.6874136696543013,0.5483612324510302,0.8139902291127613,0.14416716585867106,0.535273003918784,2.823776850695677e-17,1.0,0.49356643097741265,0.14453293429953712,0.178971634379455,0.15036506950855255,0.12141035216195242,0.0,0.0,0.13259487534207956,0.12336838086800916,0.14182136981614998,0.8034654658181327,0.19897288431313687,0.6874136696543013,0.5483612324510302,0.8139902291127613,0.14416716585867106,0.535273003918784,0.7569300457835197,0.11734013259410858,0.09684856981039047,0.49000973626971245,0.05323544563725591,0.14434198662638664,0.14964335970580578,0.047638203017413616,0.03882111539132893,0.056455292738974094,0.8778140023350716,0.13546400610357523,0.705340787768364,0.5333869978785515,0.7855273112654686,0.13546400610357523,0.5333869978785515,0.7541495561599731,0.1227449169382453,0.10784569289535284,0.03380230744369328,0.09632845595479012,0.7510081976652145,0.12319909874349833,0.09059655014425516,0.04004989052191377,0.09984172787517309,0.7656323835253716,0.10607636626809835,0.09210346173495054,0.0478604007512331,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7607275620102882,0.11357050109654665,0.10079241637140512,0.518964909017086,0.08010531263425946,0.1614257926121354,0.1505252756178379,0.7572182714939117,0.11970139760524035,0.11104659270495176,0.06853443081490695,0.10383298806846142,0.760603092610836,0.11339634843170643,0.0991002656519413,0.05850683362223208,0.10098700504750013,0.7643612772226334,0.10761374793946743,0.0922303730621934,0.04339496442116797,0.0976626630872488,21,-0.10220808553553763,13237.544980274779
3,175,504.19112253189087,4.071910381317139,42.22856140136719,0.8470698942456927,0.7756693097523281,0.09962579850639616,0.12096878490277699,0.16671481609344482,0.14855242410408598,0.18487720750272274,0.7249062813179834,0.2787404931443078,0.6710574572426932,0.5674695755754199,0.7140058482119015,0.20132367487065495,0.5492834399427686,1.8968516450905403e-30,1.0,0.5070160869189672,0.15098131856748037,0.16906929241759436,0.15036506950855255,0.12096878490277699,0.0,0.0,0.16671481609344482,0.14855242410408598,0.18487720750272274,0.7249062813179834,0.2787404931443078,0.6710574572426932,0.5674695755754199,0.7140058482119015,0.20132367487065495,0.5492834399427686,0.7851151078939438,0.08594302926212549,0.10817042551934719,0.4572628550231457,0.10000306740403175,0.16854974441230297,0.14964335970580578,0.2176877222955227,0.24079426750540733,0.19458117336034775,0.5315327905118465,0.415348906069994,0.6291804537177086,0.6018140986561775,0.3638834170997143,0.415348906069994,0.6018140986561775,0.7799827978014946,0.09249026561155915,0.11046667955815792,0.08392891637049615,0.09632845595479012,0.7916755676269531,0.07903696224093437,0.11291645560413599,0.09604728640988469,0.09984172787517309,0.7836869060993195,0.0863018506206572,0.10112813115119934,0.07347706658765674,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7840256616473198,0.0889720730483532,0.11726384796202183,0.49333323538303375,0.11105889640748501,0.18029315024614334,0.1505252756178379,0.78756133466959,0.08654588088393211,0.12662436813116074,0.12083847634494305,0.10383298806846142,0.7877491563558578,0.08564937021583319,0.1230915104970336,0.11270609311759472,0.10098700504750013,0.7767664641141891,0.09472096618264914,0.10207563545554876,0.07065278431400657,0.0976626630872488,21,-0.1308092542790941,14026.784865528345
4,175,501.62275791168213,4.071910381317139,42.1679801940918,0.830400310584477,0.7646338364056179,0.11228699075324194,0.11846834910767419,0.17905710407665798,0.16918866629579238,0.18892554180962698,0.6623130995886667,0.3397488940081426,0.6578423602240426,0.5827547648974828,0.6576647303359849,0.2281428824498185,0.5559713910307204,0.0,1.0,0.5162189362730298,0.15402330032416753,0.15559365881340845,0.15036506950855255,0.11846834910767419,0.0,0.0,0.17905710407665798,0.16918866629579238,0.18892554180962698,0.6623130995886667,0.3397488940081426,0.6578423602240426,0.5827547648974828,0.6576647303359849,0.2281428824498185,0.5559713910307204,0.7774563282728195,0.09477058053016663,0.1066476833075285,0.45297570154070854,0.09859394747763872,0.1704680249094963,0.14964335970580578,0.15079700388014317,0.23337763734161854,0.0682163699530065,0.552749041467905,0.20422735810279846,0.6337357610464096,0.5505550429224968,0.6597617045044899,0.20422735810279846,0.5505550429224968,0.7777707353234291,0.09543224517256021,0.11208657827228308,0.0837569902651012,0.09632845595479012,0.7813855707645416,0.09156779665499926,0.11439090501517057,0.09257117658853531,0.09984172787517309,0.7732126638293266,0.09731168672442436,0.09346555173397064,0.07137820404022932,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7608664631843567,0.11551457643508911,0.11186710745096207,0.49401161447167397,0.1080151991918683,0.17744179628789425,0.1505252756178379,0.7621417120099068,0.11608258076012135,0.12281929142773151,0.11042513139545918,0.10383298806846142,0.7628914043307304,0.1139563862234354,0.11634246539324522,0.10055549070239067,0.10098700504750013,0.7575663030147552,0.11650475766509771,0.09643955994397402,0.07180116092786193,0.0976626630872488,21,-0.1417558388341041,14841.292157567683
5,175,506.7960617542267,4.071910381317139,42.22816848754883,0.8355630237715584,0.7568410628182547,0.12116304976599557,0.11636280770812715,0.15807802201381752,0.15397203361349446,0.16218401096229043,0.7247902376736913,0.2766167193930596,0.6707922029495239,0.5673502235753196,0.7872196097671985,0.1631619233771094,0.5398861854416983,4.902808738965033e-17,1.0,0.5234503100599561,0.15314121948821205,0.15182818348918642,0.15036506950855255,0.11636280770812715,0.0,0.0,0.15807802201381752,0.15397203361349446,0.16218401096229043,0.7247902376736913,0.2766167193930596,0.6707922029495239,0.5673502235753196,0.7872196097671985,0.1631619233771094,0.5398861854416983,0.792149655520916,0.07933738734573126,0.1174567537382245,0.4376682788133621,0.11604938749223948,0.18659311719238758,0.14964335970580578,0.13476465363055468,0.1565493093803525,0.112979996483773,0.6495526731014252,0.27454429119825363,0.6557126268744469,0.567560188472271,0.5638914629817009,0.27454429119825363,0.567560188472271,0.7871252745389938,0.08463875157758594,0.1138867000117898,0.09162939945235848,0.09632845595479012,0.7941717877984047,0.07729914598166943,0.11939441226422787,0.10837134998291731,0.09984172787517309,0.7951518669724464,0.07607425982132554,0.11908913217484951,0.08856152836233377,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7563576102256775,0.12245151028037071,0.12010559998452663,0.4901658035814762,0.12425161805003881,0.18468764051795006,0.1505252756178379,0.7428405284881592,0.13848140463232994,0.11978079937398434,0.11996026802808046,0.10383298806846142,0.75948466360569,0.11972643714398146,0.1253430312499404,0.11208077985793352,0.10098700504750013,0.7667476311326027,0.10914668347686529,0.11519297771155834,0.0862379758618772,0.0976626630872488,21,-0.144309845619968,15843.698201358318
6,175,508.8064579963684,4.071910381317139,42.252708435058594,0.8316605595179967,0.751731002671378,0.12664997658559254,0.11323131288800921,0.15072116570813315,0.14873758931777306,0.15270474370036807,0.7422122826746532,0.25801971320262446,0.6744475569043841,0.5628975234712873,0.7992955676572664,0.15290401541561421,0.537500170980181,8.778541385875574e-13,1.0,0.5262588093961988,0.1484803318977356,0.15124270839350565,0.15036506950855255,0.11323131288800921,0.0,0.0,0.15072116570813315,0.14873758931777306,0.15270474370036807,0.7422122826746532,0.25801971320262446,0.6744475569043841,0.5628975234712873,0.7992955676572664,0.15290401541561421,0.537500170980181,0.7863382548093796,0.08487184997648001,0.11019138619303703,0.45151080191135406,0.11447233334183693,0.17480489425361156,0.14964335970580578,0.11713620368391275,0.07170185213908553,0.16257055662572384,0.8123113811016083,0.31632434111088514,0.6911190003156662,0.5772527903318405,0.5299219116568565,0.31632434111088514,0.5772527903318405,0.7828763946890831,0.08857731381431222,0.10800853371620178,0.08454891201108694,0.09632845595479012,0.7873480543494225,0.08432139083743095,0.11361269652843475,0.0983708193525672,0.09984172787517309,0.7887903153896332,0.08171682991087437,0.10895291063934565,0.08090946916490793,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7457252442836761,0.13344195391982794,0.1113532017916441,0.5143283568322659,0.11914895102381706,0.16474846750497818,0.1505252756178379,0.7360088899731636,0.14525389578193426,0.11263858154416084,0.1120725842192769,0.10383298806846142,0.7445845231413841,0.135247640311718,0.11370348837226629,0.10219043865799904,0.10098700504750013,0.7565823718905449,0.11982430052012205,0.10771752521395683,0.07733894931152463,0.0976626630872488,21,-0.16480724105522745,17042.757602703005
7,175,505.7206873893738,4.071910381317139,42.25697326660156,0.8355574611255101,0.7517275043896267,0.1269580253958702,0.11482669983591352,0.15448344801153455,0.14693429416843823,0.1620326019929988,0.7410006489924023,0.26145310028589197,0.6742474603652954,0.5635997809682574,0.8382995553527559,0.13630671145394443,0.5333334810393198,0.0004869299565109533,1.0,0.5265712702274322,0.149384118275983,0.15250719866582327,0.15036506950855255,0.11482669983591352,0.0,0.0,0.15448344801153455,0.14693429416843823,0.1620326019929988,0.7410006489924023,0.26145310028589197,0.6742474603652954,0.5635997809682574,0.8382995553527559,0.13630671145394443,0.5333334810393198,0.7778263539075851,0.09326653741300106,0.10106417629867792,0.4525052383542061,0.09150319080799818,0.17159919440746307,0.14964335970580578,0.12980568315833807,0.12357285106554627,0.13603851292282343,0.6911331191658974,0.3384466879069805,0.6651668176054955,0.5833455324172974,0.4591451920568943,0.3384466879069805,0.5833455324172974,0.7778561934828758,0.09397024801000953,0.10494508035480976,0.069910510443151,0.09632845595479012,0.7753524407744408,0.09661277197301388,0.10316993854939938,0.08016036078333855,0.09984172787517309,0.7802704498171806,0.08921658899635077,0.0950775109231472,0.06508720386773348,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7423025593161583,0.1357192825525999,0.10191737581044436,0.5041079111397266,0.10126225650310516,0.17022361047565937,0.1505252756178379,0.7390735819935799,0.1403398932889104,0.10599452070891857,0.09307652059942484,0.10383298806846142,0.7375383302569389,0.1418493203818798,0.10432361159473658,0.08542460016906261,0.10098700504750013,0.7502957582473755,0.1249686200171709,0.09543399419635534,0.06276285089552402,0.0976626630872488,21,-0.2059593226904759,18200.6689620018
8,175,536.0246329307556,4.071910381317139,42.22627639770508,0.8309552591187613,0.7509676514353071,0.12777776126350676,0.11438120756830487,0.1699575103393623,0.1630300923543317,0.1768849277496338,0.725017802459853,0.2826089775514889,0.6705319402899061,0.5686038652488163,0.7998760841573987,0.15736296875090505,0.5384201650960104,2.1354532344638327e-05,1.0,0.5253783341816494,0.15055489361286165,0.15266620929752078,0.15036506950855255,0.11438120756830487,0.0,0.0,0.1699575103393623,0.1630300923543317,0.1768849277496338,0.725017802459853,0.2826089775514889,0.6705319402899061,0.5686038652488163,0.7998760841573987,0.15736296875090505,0.5384201650960104,0.7913761585950851,0.07750177662819624,0.10298545844852924,0.49761128425598145,0.10976836923509836,0.13886911422014236,0.14964335970580578,0.6124249584972858,1.0506583526730537,0.17419157549738884,0.019977069809101522,-0.2984553836286068,0.5050587877631187,0.4276389740407467,1.771102398633957,-0.2984553836286068,0.4276389740407467,0.789578266441822,0.07973205810412765,0.10345759429037571,0.08554884698241949,0.09632845595479012,0.7908608540892601,0.07854682020843029,0.10525123868137598,0.09576765727251768,0.09984172787517309,0.7936893776059151,0.07422643853351474,0.10024753678590059,0.08509541861712933,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7387398779392242,0.1399949248880148,0.10209779813885689,0.5516123250126839,0.1092071970924735,0.13561860285699368,0.1505252756178379,0.7323990315198898,0.14816632587462664,0.10536732245236635,0.09817597549408674,0.10383298806846142,0.7330839335918427,0.14709377102553844,0.10401699226349592,0.09534684475511312,0.10098700504750013,0.7507367208600044,0.12472465727478266,0.09690907597541809,0.08263654354959726,0.0976626630872488,21,-0.226091345506055,19033.833570060277
9,175,530.2823896408081,4.071910381317139,42.24235916137695,0.8308831265994481,0.7504285679544721,0.12819724210671016,0.1132142179778644,0.16775489936981883,0.16665325748068946,0.16885654076933862,0.7241296058893204,0.2768885876777183,0.6702276958738055,0.5673123700278145,0.8045455629484994,0.15005497755067024,0.536672318322318,0.006771303013345239,1.0,0.5200699700628009,0.1526759781582015,0.15547975025006702,0.15036506950855255,0.1132142179778644,0.0,0.0,0.16775489936981883,0.16665325748068946,0.16885654076933862,0.7241296058893204,0.2768885876777183,0.6702276958738055,0.5673123700278145,0.8045455629484994,0.15005497755067024,0.536672318322318,0.7950767278671265,0.07386451680213213,0.10701844561845064,0.4657518304884434,0.11742302216589451,0.1632462702691555,0.14964335970580578,0.5215275846421719,0.9667490944266319,0.0763060711324215,0.04215682472568005,-0.10443413839675486,0.5104436986148357,0.47438474372029305,1.285174384713173,-0.10443413839675486,0.47438474372029305,0.7942775264382362,0.07477657170966268,0.10681174788624048,0.09198155999183655,0.09632845595479012,0.7918952405452728,0.07800653576850891,0.10887969005852938,0.10087217576801777,0.09984172787517309,0.7990574464201927,0.06881043314933777,0.10536388866603374,0.09262687433511019,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.7473874166607857,0.13040554895997047,0.10580069292336702,0.5228810422122478,0.11624822206795216,0.1575848013162613,0.1505252756178379,0.742709681391716,0.13629061076790094,0.10746137890964746,0.10458257980644703,0.10383298806846142,0.7444940358400345,0.13422009628266096,0.10774330515414476,0.1038769157603383,0.10098700504750013,0.7549585774540901,0.1207059295848012,0.10219739284366369,0.0904102185741067,0.0976626630872488,21,-0.23585470650522483,19817.334962376528
10,175,511.140545129776,4.071910381317139,42.16267395019531,0.8327997691290719,0.752524014881679,0.12597996486084803,0.11467005857399531,0.17154669821262358,0.16758346757718495,0.17550992775176252,0.7098587323938097,0.28996556904798904,0.667370799609593,0.5705110738958631,0.802757543538298,0.14769870571526034,0.5361911807741437,0.006690697029909407,1.0,0.5201474646159581,0.15670848331281118,0.15602236598730088,0.15036506950855255,0.11467005857399531,0.0,0.0,0.17154669821262358,0.16758346757718495,0.17550992775176252,0.7098587323938097,0.28996556904798904,0.667370799609593,0.5705110738958631,0.802757543538298,0.14769870571526034,0.5361911807741437,0.8009868934750557,0.06805145461112261,0.1134382700547576,0.4557794965803623,0.11646977998316288,0.1734299436211586,0.14964335970580578,0.3113479111343622,0.5689388737082481,0.0537569522857666,0.2742583230137825,0.06610799743793905,0.5674329474568367,0.5163248740136623,0.9215410202741623,0.06610799743793905,0.5163248740136623,0.7987890765070915,0.07095446763560176,0.11494287010282278,0.0969082610681653,0.09632845595479012,0.7984873950481415,0.0710260453633964,0.11343314871191978,0.1055127689614892,0.09984172787517309,0.8056841343641281,0.06217384710907936,0.11193877458572388,0.09850006829947233,0.09576937090605497,MISSING_ROI,MISSING_ROI,0.754601314663887,0.12278465833514929,0.11087792366743088,0.5056261233985424,0.11626002099364996,0.1727531310170889,0.1505252756178379,0.7601016163825989,0.11619636788964272,0.1106661967933178,0.10478152520954609,0.10383298806846142,0.7478890642523766,0.13090241886675358,0.1115444889292121,0.10547177121043205,0.10098700504750013,0.7558133155107498,0.12125516962260008,0.1104230796918273,0.09625505283474922,0.0976626630872488,21,-0.22137961913609788,20710.684714953106
