epoch,category,pred_SNR,label_SNR,env_hist_KS
1,carotid,1.0190478372450167,0.8605585231244595,0.2861480712890625
1,muscle,1.1083876114909714,1.0457405854365114,0.40948486328125
1,phantom,1.53748631142847,1.4853961800174242,0.45528602600097656
2,carotid,1.0187693506363864,0.8605585231244595,0.28588104248046875
2,muscle,1.108082865067378,1.0457405854365114,0.4092063903808594
2,phantom,1.536910314362459,1.4853961800174242,0.4549217224121094
3,carotid,1.018426371711238,0.8605585231244595,0.2855854034423828
3,muscle,1.1077155074077607,1.0457405854365114,0.40888404846191406
3,phantom,1.5361820571820073,1.4853961800174242,0.4545021057128906
4,carotid,1.0180262219076168,0.8605585231244595,0.2852458953857422
4,muscle,1.107290428096318,1.0457405854365114,0.4084892272949219
4,phantom,1.5353280104477347,1.4853961800174242,0.45398712158203125
5,carotid,1.017565357230539,0.8605585231244595,0.2847785949707031
5,muscle,1.1068036295093273,1.0457405854365114,0.4080486297607422
5,phantom,1.5343451077193833,1.4853961800174242,0.45336341857910156
6,carotid,1.0170440194541395,0.8605585231244595,0.28433799743652344
6,muscle,1.1062541544601618,1.0457405854365114,0.40756797790527344
6,phantom,1.533225168910693,1.4853961800174242,0.45264244079589844
7,carotid,1.016466678762714,0.8605585231244595,0.2838172912597656
7,muscle,1.105646826323777,1.0457405854365114,0.40705108642578125
7,phantom,1.5319811740217966,1.4853961800174242,0.45183753967285156
8,carotid,1.0158356995309494,0.8605585231244595,0.28325462341308594
8,muscle,1.1049837760193513,1.0457405854365114,0.4064903259277344
8,phantom,1.530625173802626,1.4853961800174242,0.4509735107421875
9,carotid,1.015153835081018,0.8605585231244595,0.28266334533691406
9,muscle,1.1042681016049245,1.0457405854365114,0.4058208465576172
9,phantom,1.5291554016939657,1.4853961800174242,0.4500598907470703
10,carotid,1.0144242495374078,0.8605585231244595,0.2820587158203125
10,muscle,1.103502559575025,1.0457405854365114,0.40511131286621094
10,phantom,1.5275819167037017,1.4853961800174242,0.44910621643066406
11,carotid,1.013651426934922,0.8605585231244595,0.28136253356933594
11,muscle,1.1026911831400796,1.0457405854365114,0.40441322326660156
11,phantom,1.5259100426744767,1.4853961800174242,0.4480171203613281
12,carotid,1.0128369127890335,0.8605585231244595,0.2805767059326172
12,muscle,1.1018354087657272,1.0457405854365114,0.4036598205566406
12,phantom,1.5241474036862148,1.4853961800174242,0.4469165802001953
13,carotid,1.0119834262652732,0.8605585231244595,0.2798786163330078
13,muscle,1.1009374957984146,1.0457405854365114,0.40283203125
13,phantom,1.522299924801521,1.4853961800174242,0.4457263946533203
14,carotid,1.0110919740146296,0.8605585231244595,0.27910614013671875
14,muscle,1.0999997088953672,1.0457405854365114,0.4019203186035156
14,phantom,1.5203673383494614,1.4853961800174242,0.4445476531982422
15,carotid,1.0101637747155074,0.8605585231244595,0.27831459045410156
15,muscle,1.0990226786547201,1.0457405854365114,0.40091705322265625
15,phantom,1.518355602240508,1.4853961800174242,0.44332313537597656
16,carotid,1.0091974044889667,0.8605585231244595,0.2774524688720703
16,muscle,1.098004572868286,1.0457405854365114,0.40001869201660156
16,phantom,1.516261731508054,1.4853961800174242,0.4420166015625
17,carotid,1.0081973096867074,0.8605585231244595,0.27660179138183594
17,muscle,1.0969507848864355,1.0457405854365114,0.3990612030029297
17,phantom,1.5140963490895456,1.4853961800174242,0.4406776428222656
18,carotid,1.0071538304013543,0.8605585231244595,0.2756805419921875
18,muscle,1.0958506159907635,1.0457405854365114,0.3980865478515625
18,phantom,1.51183397876555,1.4853961800174242,0.4392528533935547
19,carotid,1.0060823459543322,0.8605585231244595,0.2747383117675781
19,muscle,1.0947196116673166,1.0457405854365114,0.39708518981933594
19,phantom,1.5095142008693219,1.4853961800174242,0.43784523010253906
20,carotid,1.0049786878325093,0.8605585231244595,0.2738037109375
20,muscle,1.0935561995981549,1.0457405854365114,0.39605140686035156
20,phantom,1.5071252577889118,1.4853961800174242,0.43634796142578125
21,carotid,1.0038367797687282,0.8605585231244595,0.27282142639160156
21,muscle,1.0923511712366583,1.0457405854365114,0.39495849609375
21,phantom,1.5046554167177386,1.4853961800174242,0.43480491638183594
22,carotid,1.00265232674168,0.8605585231244595,0.27178001403808594
22,muscle,1.0911000037251741,1.0457405854365114,0.3937835693359375
22,phantom,1.5020864502569498,1.4853961800174242,0.43314552307128906
23,carotid,1.001437166677286,0.8605585231244595,0.2706775665283203
23,muscle,1.0898172330643363,1.0457405854365114,0.3927173614501953
23,phantom,1.499447726905249,1.4853961800174242,0.43143272399902344
24,carotid,1.0001867305841523,0.8605585231244595,0.26961517333984375
24,muscle,1.0884956986466552,1.0457405854365114,0.3916015625
24,phantom,1.4967338765328986,1.4853961800174242,0.42975616455078125
25,carotid,0.9989095315366701,0.8605585231244595,0.2685203552246094
25,muscle,1.0871470109264791,1.0457405854365114,0.3904380798339844
25,phantom,1.4939681048410616,1.4853961800174242,0.428070068359375
26,carotid,0.9976001559941008,0.8605585231244595,0.26738739013671875
26,muscle,1.0857626535142209,1.0457405854365114,0.38912391662597656
26,phantom,1.4911301351865565,1.4853961800174242,0.4262561798095703
27,carotid,0.9962423118275389,0.8605585231244595,0.2662525177001953
27,muscle,1.0843277428149103,1.0457405854365114,0.38785743713378906
27,phantom,1.488189053471641,1.4853961800174242,0.42438697814941406
28,carotid,0.9948654727416082,0.8605585231244595,0.26506805419921875
28,muscle,1.0828709799101475,1.0457405854365114,0.38662147521972656
28,phantom,1.4852142524442886,1.4853961800174242,0.42261505126953125
29,carotid,0.993443998766162,0.8605585231244595,0.2638568878173828
29,muscle,1.0813668122285902,1.0457405854365114,0.3853435516357422
29,phantom,1.4821367436639634,1.4853961800174242,0.42058372497558594
30,carotid,0.992008904567587,0.8605585231244595,0.2626304626464844
30,muscle,1.0798446510127702,1.0457405854365114,0.38403892517089844
30,phantom,1.479038660076286,1.4853961800174242,0.41861724853515625
31,carotid,0.990535931244189,0.8605585231244595,0.26134490966796875
31,muscle,1.0782815838513329,1.0457405854365114,0.3824939727783203
31,phantom,1.4758593784709508,1.4853961800174242,0.41663169860839844
32,carotid,0.989036993742329,0.8605585231244595,0.25995635986328125
32,muscle,1.07668987762122,1.0457405854365114,0.3810882568359375
32,phantom,1.4726252507725357,1.4853961800174242,0.4145660400390625
33,carotid,0.9875152461325445,0.8605585231244595,0.25856781005859375
33,muscle,1.0750726340561156,1.0457405854365114,0.3797607421875
33,phantom,1.469353510509906,1.4853961800174242,0.4124279022216797
34,carotid,0.9859474707252541,0.8605585231244595,0.2571392059326172
34,muscle,1.0734018434164996,1.0457405854365114,0.37828826904296875
34,phantom,1.4659649204344305,1.4853961800174242,0.41028785705566406
35,carotid,0.98438390124887,0.8605585231244595,0.2558097839355469
35,muscle,1.0717348930314632,1.0457405854365114,0.3767890930175781
35,phantom,1.462616349256696,1.4853961800174242,0.40799713134765625
36,carotid,0.9827827922268565,0.8605585231244595,0.2543487548828125
36,muscle,1.0700267674957915,1.0457405854365114,0.37524986267089844
36,phantom,1.4591862192800718,1.4853961800174242,0.40572166442871094
37,carotid,0.9811515514314383,0.8605585231244595,0.2530040740966797
37,muscle,1.0682806202938262,1.0457405854365114,0.3737831115722656
37,phantom,1.45568280294882,1.4853961800174242,0.40348243713378906
38,carotid,0.9795095877275385,0.8605585231244595,0.25153350830078125
38,muscle,1.0665235681240341,1.0457405854365114,0.37235450744628906
38,phantom,1.4521735608330517,1.4853961800174242,0.40115928649902344
39,carotid,0.9778278166897982,0.8605585231244595,0.25012779235839844
39,muscle,1.064722341902753,1.0457405854365114,0.37081146240234375
39,phantom,1.4485792922416914,1.4853961800174242,0.39874839782714844
40,carotid,0.9761281919066064,0.8605585231244595,0.2486286163330078
40,muscle,1.0628995666626058,1.0457405854365114,0.3692283630371094
40,phantom,1.4449607689870179,1.4853961800174242,0.39641380310058594
41,carotid,0.9744187808529692,0.8605585231244595,0.2471027374267578
41,muscle,1.061059780680525,1.0457405854365114,0.3676605224609375
41,phantom,1.4413149970841517,1.4853961800174242,0.39402008056640625
42,carotid,0.9726748775052327,0.8605585231244595,0.24548721313476562
42,muscle,1.0591839999966564,1.0457405854365114,0.36600685119628906
42,phantom,1.4376077938653706,1.4853961800174242,0.3916645050048828
43,carotid,0.9709191601425902,0.8605585231244595,0.24386978149414062
43,muscle,1.0572919076385028,1.0457405854365114,0.3643341064453125
43,phantom,1.4338887510301634,1.4853961800174242,0.3891124725341797
44,carotid,0.9691465209108704,0.8605585231244595,0.24229049682617188
44,muscle,1.0553790878588403,1.0457405854365114,0.3626556396484375
44,phantom,1.4301357749977632,1.4853961800174242,0.3866233825683594
45,carotid,0.9673463842636231,0.8605585231244595,0.24083900451660156
45,muscle,1.0534301755148325,1.0457405854365114,0.36102867126464844
45,phantom,1.426326073433335,1.4853961800174242,0.38406944274902344
46,carotid,0.9655499877446867,0.8605585231244595,0.23921775817871094
46,muscle,1.0514788517183367,1.0457405854365114,0.3593406677246094
46,phantom,1.422548207651639,1.4853961800174242,0.3815326690673828
47,carotid,0.9637134564685081,0.8605585231244595,0.23763275146484375
47,muscle,1.0494794652427986,1.0457405854365114,0.35760498046875
47,phantom,1.4186715521155682,1.4853961800174242,0.37894630432128906
48,carotid,0.9618806918079233,0.8605585231244595,0.23602867126464844
48,muscle,1.0474756806968448,1.0457405854365114,0.3559093475341797
48,phantom,1.4148344597779123,1.4853961800174242,0.3763427734375
49,carotid,0.9600125749127073,0.8605585231244595,0.23432159423828125
49,muscle,1.045428173626629,1.0457405854365114,0.35404014587402344
49,phantom,1.410910711782178,1.4853961800174242,0.37366676330566406
50,carotid,0.9581451018332265,0.8605585231244595,0.23267745971679688
50,muscle,1.0433780318813244,1.0457405854365114,0.3522834777832031
50,phantom,1.40701871479066,1.4853961800174242,0.37091064453125
