epoch,batches,seconds,peak_cuda_mem_gb,pred_max_abs,has_nan,has_inf,available_memory_gb,D_real,D_fake,D_real_score,D_fake_score,D_loss,G_adv_raw,G_struct_raw,G_struct_unnormalized_raw,G_struct_scale,G_carrier_raw,G_adv_weighted,G_struct_weighted,G_carrier_weighted,G_total
1,350,422.7839090824127,2.608088493347168,280798.96875,0,0,53.06729507446289,0.056546238474547865,0.043973437032795375,0.7201788193838937,0.5087858303955624,0.050259837859443254,0.960913363311972,1.1037904117788588,4759.0277985491075,4393.196451939174,6391.870986328125,0.960913363311972,1.1037904117788588,3195.9354931640623,3198.000196358817
2,350,430.3339776992798,2.608088493347168,280795.5625,0,0,52.64854049682617,0.008974135748243758,0.006900361712822424,0.7295055547782353,0.5011207082441875,0.007937248739680009,0.9963044532707759,1.1033270534447261,4757.441268136161,4393.196451939174,6390.687110770089,0.9963044532707759,1.1033270534447261,3195.3435553850445,3197.443190917969
3,350,431.2971634864807,2.608088493347168,280790.25,0,0,52.77330780029297,0.004949036713223904,0.003886740575544536,0.7301771240574974,0.5006019315549306,0.004417888653863754,0.9978724871362958,1.1027348252705165,4755.410097307477,4393.196451939174,6389.182446986607,0.9978724871362958,1.1027348252705165,3194.5912234933035,3196.6918314034597
4,350,431.7086682319641,2.608088493347168,280783.65625,0,0,52.99814224243164,0.0032197548455691763,0.002379911006927224,0.7305041825771332,0.5003839737176895,0.002799832925998739,0.999149637392589,1.1020183897018432,4752.951149902344,4393.196451939174,6387.371826520647,0.999149637392589,1.1020183897018432,3193.6859132603236,3195.787080950056
5,350,432.50350069999695,2.608088493347168,280777.375,0,0,53.01288986206055,0.0028339136293756644,0.0022016646169192556,0.7306262000969478,0.5002940360137395,0.0025177891316291476,0.9996852144173214,1.101183067730495,4750.083585379464,4393.196451939174,6385.270437011719,0.9996852144173214,1.101183067730495,3192.6352185058595,3194.736075265067
6,350,433.71860694885254,2.608088493347168,280771.125,0,0,52.755645751953125,0.0022755262169188687,0.0018183768708591483,0.7307304799556732,0.5002371507031577,0.0020469515492940057,1.000104890721185,1.1002362939289638,4746.832955496652,4393.196451939174,6382.896347307477,1.000104890721185,1.1002362939289638,3191.4481736537386,3193.548514229911
7,350,434.31815934181213,2.608088493347168,280764.46875,0,0,52.967750549316406,0.0024829158451341623,0.002211245217726433,0.7306805169582367,0.5002254599332809,0.0023470805335922963,1.0000294085911343,1.0991850478308542,4743.22421421596,4393.196451939174,6380.268561662946,1.0000294085911343,1.0991850478308542,3190.134280831473,3192.23349382673
8,350,434.49323296546936,2.608088493347168,280757.6875,0,0,52.959144592285156,0.0016419263436858143,0.0013091348613878445,0.7308353984355926,0.5001347668681826,0.0014755306070271348,1.0002370282581874,1.0980346696717398,4739.274758649553,4393.196451939174,6377.399114118303,1.0002370282581874,1.0980346696717398,3188.6995570591516,3190.797829241071
9,350,445.9962513446808,2.608088493347168,280750.125,0,0,52.80874252319336,0.0018827878957381472,0.0015785030945802906,0.7308150689942496,0.5001265258448464,0.0017306454927061817,1.0007900474752698,1.0967907757418496,4735.003987862723,4393.196451939174,6374.303483537947,1.0007900474752698,1.0967907757418496,3187.1517417689734,3189.2493223353795
10,350,434.898784160614,2.608088493347168,280741.5,0,0,52.78297424316406,0.0015497811999271756,0.0013365693932947968,0.7308479729720524,0.5001485862050737,0.0014431753002073881,1.000338978256498,1.0954571287972585,4730.425002441406,4393.196451939174,6370.991275111607,1.000338978256498,1.0954571287972585,3185.4956375558036,3187.5914315359933
11,350,435.917932510376,2.608088493347168,280733.125,0,0,52.785369873046875,0.001536132830743944,0.001292929375361252,0.7308688226767949,0.5001099808726992,0.001414531102636829,1.0006553123678479,1.0940372741222382,4725.550016043527,4393.196451939174,6367.472032993862,1.0006553123678479,1.0940372741222382,3183.736016496931,3185.830710623605
12,350,436.0380971431732,2.608088493347168,280723.90625,0,0,52.809783935546875,0.0014926952591797868,0.0012705796943711383,0.7308772277832031,0.5000704537970679,0.0013816374783969618,1.0007158499104636,1.092533790554319,4720.387863420759,4393.196451939174,6363.7522910853795,1.0007158499104636,1.092533790554319,3181.8761455426898,3183.9693905203685
