category,sample_idx,plane,path,scale,label_db_min,label_db_max,baseline_db_min,baseline_db_max,shared_vmin,shared_vmax,figure
muscle,76,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch002.h5,34454.40234375,46.73790740966797,90.2432861328125,49.12718200683594,92.14329528808594,30.225374984741222,90.22537498474122,figures/muscle_idx076_xy_label_vs_baseline.png
muscle,76,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch002.h5,34454.40234375,41.474361419677734,80.92098999023438,50.842063903808594,91.6714096069336,30.08199615478516,90.08199615478516,figures/muscle_idx076_zy_label_vs_baseline.png
muscle,77,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch003.h5,70777.59375,19.680992126464844,92.10459899902344,48.44251251220703,97.37518310546875,35.58038578033448,95.58038578033448,figures/muscle_idx077_xz_label_vs_baseline.png
muscle,77,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch003.h5,70777.59375,49.942989349365234,94.38108825683594,48.83946990966797,100.70046997070312,38.91029960632325,98.91029960632325,figures/muscle_idx077_xy_label_vs_baseline.png
muscle,77,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch003.h5,70777.59375,37.367759704589844,95.34097290039062,48.63208770751953,102.49923706054688,38.277474212646496,98.2774742126465,figures/muscle_idx077_zy_label_vs_baseline.png
muscle,78,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch004.h5,29468.73828125,43.727909088134766,84.26949310302734,48.03943634033203,89.90096282958984,27.011572837829604,87.0115728378296,figures/muscle_idx078_xz_label_vs_baseline.png
muscle,78,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch004.h5,29468.73828125,38.05728530883789,81.9449462890625,52.643890380859375,87.97119903564453,26.66565563201904,86.66565563201904,figures/muscle_idx078_xy_label_vs_baseline.png
muscle,78,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch004.h5,29468.73828125,39.22393798828125,82.65137481689453,50.96084976196289,90.55518341064453,27.918278121948248,87.91827812194825,figures/muscle_idx078_zy_label_vs_baseline.png
muscle,79,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch005.h5,35593.5234375,36.52532958984375,82.33570098876953,43.253204345703125,89.98826599121094,28.265433311462402,88.2654333114624,figures/muscle_idx079_xz_label_vs_baseline.png
muscle,79,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch005.h5,35593.5234375,40.86643600463867,81.6599349975586,51.248287200927734,89.64043426513672,28.33171703338624,88.33171703338624,figures/muscle_idx079_xy_label_vs_baseline.png
