category,n_rois,mean_env_mean,mean_env_std,std_env_mean,std_env_std,speckle_snr_mean_over_std_mean,speckle_snr_mean_over_std_std,autocorr_fwhm_z_vox_mean,autocorr_fwhm_z_vox_std,autocorr_fwhm_x_vox_mean,autocorr_fwhm_x_vox_std,autocorr_fwhm_z_mm_mean,autocorr_fwhm_z_mm_std,autocorr_fwhm_x_mm_mean,autocorr_fwhm_x_mm_std
carotid,12,6239.386057535808,6930.493115003185,2824.3470255533853,3286.3127292262943,2.2496018625019594,0.3144842378488206,6.43098413325914,0.6688897050177706,3.2098292840995857,0.6041017886613567,0.2328016256239809,0.024213807321643303,0.6419658568199171,0.12082035773227134
muscle,12,4564.104176839192,5180.18850249088,2470.433937072754,2858.977739446598,2.0411062440131524,0.44520415398067825,6.652328004655481,1.3655257679928696,3.8263462648023743,2.0901240235569443,0.24081427376852846,0.04943203280134189,0.7652692529604748,0.4180248047113888
phantom,12,1026.8266296386719,623.3390669237881,479.2239532470703,291.6174955160915,2.147932347123345,0.18801966646440893,6.016362719869922,0.5507579932856751,2.7573586094776616,0.4769773462420077,0.21779233045929117,0.019937439356941443,0.5514717218955323,0.09539546924840155
