epoch,batches,seconds,peak_cuda_mem_gb,available_memory_gb,loss,ssim,l1,pred_min,pred_max,pred_mean,pred_baseline_l1,baseline_gt_l1,pred_gt_l1,has_nan,has_inf,val_loss,val_ssim,val_l1,val_pred_baseline_l1,val_baseline_gt_l1
1,350,465.6767897605896,2.3596763610839844,49.958438873291016,0.7469080587795802,0.1313521792633193,0.10777446029441698,0.4221411637748991,0.981391191482544,0.5261741963454655,0.1502046847875629,0.15036506972142627,0.10777446029441698,0.0,0.0,0.738592267036438,0.13778246194124222,0.08955973200500011,0.16756439954042435,0.14964335970580578
2,350,465.4465503692627,2.3596763610839844,49.866817474365234,0.7292538450445447,0.15104863779885427,0.10084202181015696,0.34197440573147364,0.998691976070404,0.5305416910988944,0.1385379947083337,0.15036506972142627,0.10084202181015696,0.0,0.0,0.7372230514883995,0.140090212225914,0.09311790391802788,0.1764273066073656,0.14964335970580578
3,350,465.1964955329895,2.3596763610839844,49.792972564697266,0.7194703592572893,0.16269528648683004,0.10084014479603086,0.3173553869128227,0.9996951818466187,0.5297001533848898,0.13910002615834985,0.15036506972142627,0.10084014479603086,0.0,0.0,0.7383375838398933,0.1385304406285286,0.09189470577985048,0.1738371104001999,0.14964335970580578
4,350,462.9762463569641,2.3596763610839844,49.79970169067383,0.7092361514908927,0.17488907643726895,0.1008937540437494,0.2971297696232796,0.999744713306427,0.5297921207972935,0.13958475123558725,0.15036506972142627,0.1008937540437494,0.0,0.0,0.7413231059908867,0.1356818936765194,0.09559945482760668,0.18177811987698078,0.14964335970580578
5,350,469.92799735069275,2.3596763610839844,49.772483825683594,0.7006818195751735,0.1850719001037734,0.10088901396308626,0.28108028790780476,0.9996824264526367,0.5293797300543104,0.14031562229352337,0.15036506972142627,0.10088901396308626,0.0,0.0,0.7440835610032082,0.13287613168358803,0.09812202770262957,0.18665212392807007,0.14964335970580578
6,350,461.2360062599182,2.3596763610839844,49.81728744506836,0.6936278968197959,0.19343614497355052,0.10071429393121174,0.26888355255126956,0.9995624423027039,0.5293436961514609,0.1406109887787274,0.15036506972142627,0.10071429393121174,0.0,0.0,0.7472275272011757,0.12992313224822283,0.10226871259510517,0.19405762292444706,0.14964335970580578
7,350,467.6209032535553,2.3596763610839844,49.53016662597656,0.6877894633156912,0.20037093158279146,0.10063169189861843,0.2584209752508572,0.9993996620178223,0.5292754885128567,0.14087463908961842,0.15036506972142627,0.10063169189861843,0.0,0.0,0.7501613721251488,0.1272916030138731,0.10678968299180269,0.2016361616551876,0.14964335970580578
8,350,467.57205748558044,2.3596763610839844,49.803199768066406,0.6829046407767705,0.2061795056291989,0.10059657660978182,0.2500361051304,0.9992107152938843,0.5291450723579951,0.14121499310646737,0.15036506972142627,0.10059657660978182,0.0,0.0,0.7526402398943901,0.12485921569168568,0.10951263085007668,0.20578538812696934,0.14964335970580578
9,350,462.04013538360596,2.3596763610839844,49.82231521606445,0.6787346174035753,0.21114522742373604,0.10060397637741907,0.24308674946427344,0.9990045428276062,0.5290559022767203,0.14147931452308382,0.15036506972142627,0.10060397637741907,0.0,0.0,0.7550890818238258,0.1225249208509922,0.11256288643926382,0.21028985269367695,0.14964335970580578
10,350,461.58777475357056,2.3596763610839844,49.8141975402832,0.6751222131933485,0.2154428728563445,0.10058909224612372,0.23728082742009843,0.9985698461532593,0.5289132407733372,0.14174926991973605,0.15036506972142627,0.10058909224612372,0.0,0.0,0.7573613747954369,0.12045193836092949,0.11588145606219769,0.2151589822024107,0.14964335970580578
