epoch,batches,seconds,peak_cuda_mem_gb,available_memory_gb,loss,ssim,l1,pred_min,pred_max,pred_mean,pred_std,pred_baseline_l1,baseline_gt_l1,pred_gt_l1,has_nan,has_inf,val_loss,val_ssim,val_l1,val_pred_mean,val_pred_std,val_pred_baseline_l1,val_baseline_gt_l1,bn_layers,bn_running_mean_mean,bn_running_var_mean
1,175,812.519050359726,4.047810077667236,42.941471099853516,0.7826884341239929,0.1073749488379274,0.2055213509287153,5.68773612060936e-06,0.968626081943512,0.34267580871071135,0.10072640748960632,0.3108324202469417,0.15036506950855255,0.2055213509287153,0.0,0.0,0.758394367992878,0.12027242034673691,0.1213952424004674,0.39867209270596504,0.07800401048734784,0.2188694942742586,0.14964335970580578,21,-0.07179830621628623,13235.546430611894
2,175,655.9801950454712,4.047810077667236,42.91747283935547,0.7483584703717913,0.13020251329456056,0.1108037993311882,2.7498470803497404e-19,0.9945228099822998,0.47912379724638804,0.13633512531008038,0.18228785221065794,0.15036506950855255,0.1108037993311882,0.0,0.0,0.7423333302140236,0.13338221050798893,0.08983998745679855,0.4584571495652199,0.07898149965330958,0.1632357109338045,0.14964335970580578,21,-0.20317104104019346,15325.759053118172
3,175,642.3947615623474,4.047810077667236,42.791934967041016,0.7280005918230329,0.15230721810034342,0.09961674319846289,4.00502887593572e-37,0.9997410178184509,0.5137414729595184,0.13986687762396677,0.14995068239314216,0.15036506950855255,0.09961674319846289,0.0,0.0,0.7394884377717972,0.13582360837608576,0.08487689215689898,0.49473369866609573,0.06564853899180889,0.13146216608583927,0.14964335970580578,21,-0.23582200883399873,16874.989998452722
4,175,547.3300778865814,4.047810077667236,42.94002914428711,0.714002434526171,0.1686781313589641,0.0980755832365581,0.0,0.9999997615814209,0.5223723241261073,0.14322088173457553,0.14233187841517583,0.15036506950855255,0.0980755832365581,0.0,0.0,0.7420864105224609,0.13341998774558306,0.08849518094211817,0.46265799552202225,0.06973569514229894,0.1578912902623415,0.14964335970580578,21,-0.23535082365075746,18119.45901844899
5,175,714.992621421814,4.047810077667236,42.939414978027344,0.701476604938507,0.18358186330114093,0.09803374937602452,0.0,1.0,0.5233499457154955,0.14435607969760894,0.1422631441269602,0.15036506950855255,0.09803374937602452,0.0,0.0,0.745615765452385,0.12853812985122204,0.0849238159134984,0.480504859238863,0.07964282017201185,0.1420522015541792,0.14964335970580578,21,-0.24409610210430055,19126.613404779207
6,175,734.8087453842163,4.047810077667236,42.59104537963867,0.6900942543574742,0.19711103865078516,0.09792223193815776,0.0,1.0,0.5237242814472743,0.14469014423234122,0.1425085269979068,0.15036506950855255,0.09792223193815776,0.0,0.0,0.7521381378173828,0.12149350997060537,0.08870434388518333,0.496611550450325,0.08160106604918838,0.13011100329458714,0.14964335970580578,21,-0.2647889487090565,19838.007709192378
7,175,590.0827689170837,4.047810077667236,42.85097885131836,0.6798769453593663,0.20914801137787956,0.09725814644779478,0.0,1.0,0.5241872039863041,0.14452117839029857,0.14255336970090865,0.15036506950855255,0.09725814644779478,0.0,0.0,0.7570518329739571,0.11629240121692419,0.09210924431681633,0.4850314259529114,0.07795998454093933,0.14053040090948343,0.14964335970580578,21,-0.26707970359850497,20420.48933374598
8,175,694.9602837562561,4.047810077667236,42.941715240478516,0.6706497682843889,0.2200431820324489,0.0967879422221865,0.0,1.0,0.5245592151369367,0.14417782063995088,0.1426532888838223,0.15036506950855255,0.0967879422221865,0.0,0.0,0.7549666166305542,0.11781752575188875,0.08708344120532274,0.4872678108513355,0.07981121959164739,0.13779366761446,0.14964335970580578,21,-0.2662171254910174,20911.90620520569
9,175,758.4415481090546,4.047810077667236,42.93351745605469,0.6617770855767386,0.23050504837717328,0.0962584667120661,0.0,1.0,0.5242485145160131,0.14347563334873745,0.1431614707197462,0.15036506950855255,0.0962584667120661,0.0,0.0,0.7606344074010849,0.11195873934775591,0.09174859430640936,0.47112732008099556,0.07755613746121526,0.15198061242699623,0.14964335970580578,21,-0.27847405141662984,21335.734836867876
10,175,843.7746222019196,4.047810077667236,42.86814880371094,0.6536126821381705,0.24009716025420597,0.09558952514614377,0.0,1.0,0.5242482537882669,0.143340382874012,0.14321868636778423,0.15036506950855255,0.09558952514614377,0.0,0.0,0.7605695053935051,0.11150726582854986,0.08897272497415543,0.480949979275465,0.0835585305467248,0.14370963908731937,0.14964335970580578,21,-0.28664902473489445,21742.930844443184
11,175,776.6729097366333,4.047810077667236,42.92668914794922,0.6457520358903067,0.2493558133499963,0.09506839530808585,0.0,1.0,0.5242554591383253,0.14323639661073684,0.14330794679267067,0.15036506950855255,0.09506839530808585,0.0,0.0,0.7619012370705605,0.10998906195163727,0.08932540193200111,0.48569194227457047,0.08217797800898552,0.1402248153463006,0.14964335970580578,21,-0.28658520412586985,22158.65207588389
12,175,1045.1257364749908,4.047810077667236,42.89869689941406,0.6386968111991882,0.2576874894755227,0.09471456059387752,0.0,1.0,0.5239193027360098,0.1432228643979345,0.1437040576338768,0.15036506950855255,0.09471456059387752,0.0,0.0,0.7591963931918144,0.11314926482737064,0.08901115600019693,0.5143833123147488,0.09084906335920095,0.11773923505097628,0.14964335970580578,21,-0.29116589336522986,22489.683271961552
13,175,741.0871143341064,4.047810077667236,42.56797790527344,0.6319876664025443,0.265600757258279,0.09432704478502274,0.0,1.0,0.5240840991905757,0.14306035718747548,0.14373845049313136,0.15036506950855255,0.09432704478502274,0.0,0.0,0.7653891742229462,0.10605125781148672,0.09045155718922615,0.4926789775490761,0.07974133267998695,0.1356147862970829,0.14964335970580578,21,-0.29068456980444135,22877.610470275085
14,175,915.0569386482239,4.047810077667236,42.48861312866211,0.6254450968333654,0.2733046422685896,0.09388136795588901,0.0,1.0,0.5241661562238421,0.14324289458138603,0.14375553914478847,0.15036506950855255,0.09388136795588901,0.0,0.0,0.7672196701169014,0.10383243393152952,0.09024323336780071,0.4827292412519455,0.08623407874256372,0.1431327648460865,0.14964335970580578,21,-0.3023025824555329,23201.341951578856
15,175,1087.0199332237244,4.047810077667236,42.88833236694336,0.6189971494674683,0.28092557890074593,0.09359163935695376,0.0,1.0,0.5240530022553035,0.14311069914272853,0.14394228892666952,0.15036506950855255,0.09359163935695376,0.0,0.0,0.7673964872956276,0.10357778239995241,0.0900114681571722,0.49297723546624184,0.08651877660304308,0.13518047332763672,0.14964335970580578,21,-0.30336398870817255,23524.34849079308
16,175,1214.9894375801086,4.047810077667236,42.86808395385742,0.6128599309921264,0.288140595299857,0.09311282430376325,0.0,1.0,0.5242408038888658,0.14308461129665376,0.14389575417552675,0.15036506950855255,0.09311282430376325,0.0,0.0,0.7710803151130676,0.09948413912206888,0.09154373221099377,0.49301808699965477,0.09096953552216291,0.13563637621700764,0.14964335970580578,21,-0.31755129070509047,23853.711772748404
17,175,1237.575353384018,4.047810077667236,42.1127815246582,0.6074903215680804,0.2944653010368347,0.09275748265641076,0.0,1.0,0.5240004123960222,0.1427276360988617,0.14408069150788444,0.15036506950855255,0.09275748265641076,0.0,0.0,0.7700994685292244,0.10056698694825172,0.09109850693494081,0.501227144151926,0.09045610670000315,0.12900447193533182,0.14964335970580578,21,-0.32067052869214896,24151.0612610834
18,175,1280.1714704036713,4.047810077667236,42.8808708190918,0.6024398064613342,0.30040250939982277,0.09236209911959511,0.0,1.0,0.5240886700153351,0.1426154391680445,0.14405281411749976,0.15036506950855255,0.09236209911959511,0.0,0.0,0.7658999189734459,0.10541661828756332,0.09031183645129204,0.5140533074736595,0.09407603461295366,0.11867945827543736,0.14964335970580578,21,-0.3282948098189774,24444.182249289184
19,175,1362.6931607723236,4.047810077667236,42.84828567504883,0.5974494838714599,0.30630769065448216,0.092174768277577,0.0,1.0,0.5240162095001766,0.14271958891834532,0.14424971589020322,0.15036506950855255,0.092174768277577,0.0,0.0,0.7685263529419899,0.1023373119533062,0.09056076779961586,0.5122739300131798,0.09108768682926893,0.12045879196375608,0.14964335970580578,21,-0.3395296202174255,24769.569196522236
20,175,1165.2749195098877,4.047810077667236,42.846553802490234,0.5926214013780866,0.3119909301825932,0.09183625361749104,0.0,1.0,0.5238036891392299,0.14282629566533225,0.14441550408090864,0.15036506950855255,0.09183625361749104,0.0,0.0,0.7702929154038429,0.100272037088871,0.09075893089175224,0.5097446255385876,0.09179559629410505,0.12257023900747299,0.14964335970580578,21,-0.3402596781296389,25091.769578123378
21,175,1083.1551458835602,4.047810077667236,42.85577392578125,0.5890976132665362,0.3161552257197244,0.0916751480954034,0.0,1.0,0.5237193843296596,0.14275838813611438,0.14455161843981063,0.15036506950855255,0.0916751480954034,0.0,0.0,0.7710257843136787,0.09940065257251263,0.09076465107500553,0.5112742856144905,0.09067395143210888,0.12158313952386379,0.14964335970580578,21,-0.35615216098016217,25409.24534419321
