epoch,category,pred_SNR,label_SNR,env_hist_KS
1,carotid,1.019046449547161,0.8605585231244595,0.28617095947265625
1,muscle,1.108389844628967,1.0457405854365114,0.4094715118408203
1,phantom,1.5375012674020672,1.4853961800174242,0.4552726745605469
2,carotid,1.018647726354813,0.8605585231244595,0.2858467102050781
2,muscle,1.1079656098157162,1.0457405854365114,0.40912437438964844
2,phantom,1.5366174370690364,1.4853961800174242,0.45479393005371094
3,carotid,1.0182600585692543,0.8605585231244595,0.2855339050292969
3,muscle,1.1076159171960382,1.0457405854365114,0.4087848663330078
3,phantom,1.5355703096069229,1.4853961800174242,0.4543304443359375
4,carotid,1.017377449704134,0.8605585231244595,0.2848186492919922
4,muscle,1.106812496166614,1.0457405854365114,0.4081707000732422
4,phantom,1.5332433521649946,1.4853961800174242,0.4532279968261719
5,carotid,1.0169968791250135,0.8605585231244595,0.2845001220703125
5,muscle,1.1064523951115715,1.0457405854365114,0.40790557861328125
5,phantom,1.5322253027610155,1.4853961800174242,0.4527397155761719
6,carotid,1.0163885030168933,0.8605585231244595,0.28395652770996094
6,muscle,1.1058933816004919,1.0457405854365114,0.4074859619140625
6,phantom,1.5306049949259735,1.4853961800174242,0.4519786834716797
7,carotid,1.015769889052382,0.8605585231244595,0.28339576721191406
7,muscle,1.10529317932547,1.0457405854365114,0.4069843292236328
7,phantom,1.528973554587136,1.4853961800174242,0.45111846923828125
8,carotid,1.015195374434317,0.8605585231244595,0.28292274475097656
8,muscle,1.1048386934894237,1.0457405854365114,0.40650177001953125
8,phantom,1.5274458950640184,1.4853961800174242,0.45038414001464844
9,carotid,1.0144568150422324,0.8605585231244595,0.2823467254638672
9,muscle,1.1040903376346674,1.0457405854365114,0.4058551788330078
9,phantom,1.5256180639054515,1.4853961800174242,0.44942665100097656
10,carotid,1.0138098645430027,0.8605585231244595,0.28192901611328125
10,muscle,1.1036518428777626,1.0457405854365114,0.4056205749511719
10,phantom,1.5235370755204303,1.4853961800174242,0.4487571716308594
11,carotid,1.0129345530285558,0.8605585231244595,0.2811279296875
11,muscle,1.1027603699603525,1.0457405854365114,0.404876708984375
11,phantom,1.5213494290499265,1.4853961800174242,0.4476604461669922
12,carotid,1.0122147038964937,0.8605585231244595,0.28056907653808594
12,muscle,1.102043337878942,1.0457405854365114,0.4042491912841797
12,phantom,1.5194584350682685,1.4853961800174242,0.44664573669433594
13,carotid,1.0118588829477457,0.8605585231244595,0.2803630828857422
13,muscle,1.1017684015568996,1.0457405854365114,0.404052734375
13,phantom,1.5188343049515831,1.4853961800174242,0.4464302062988281
14,carotid,1.011048699728166,0.8605585231244595,0.27962493896484375
14,muscle,1.1008937548699422,1.0457405854365114,0.4032630920410156
14,phantom,1.5168533946663245,1.4853961800174242,0.44533538818359375
15,carotid,1.0102855505648745,0.8605585231244595,0.2789783477783203
15,muscle,1.1002427327180044,1.0457405854365114,0.4028816223144531
15,phantom,1.5146751621580072,1.4853961800174242,0.44445037841796875
16,carotid,1.0097569904623112,0.8605585231244595,0.2786140441894531
16,muscle,1.0996578556092003,1.0457405854365114,0.40239906311035156
16,phantom,1.5138485254279166,1.4853961800174242,0.4438190460205078
17,carotid,1.0087808019141784,0.8605585231244595,0.27785682678222656
17,muscle,1.0987181635487238,1.0457405854365114,0.40163421630859375
17,phantom,1.511070942310282,1.4853961800174242,0.4425334930419922
18,carotid,1.007796069902117,0.8605585231244595,0.2771148681640625
18,muscle,1.0978461845708252,1.0457405854365114,0.4008903503417969
18,phantom,1.5088090983124836,1.4853961800174242,0.4414691925048828
19,carotid,1.0072853641091346,0.8605585231244595,0.2765541076660156
19,muscle,1.0971436172041311,1.0457405854365114,0.40009307861328125
19,phantom,1.5076364186381859,1.4853961800174242,0.44054222106933594
20,carotid,1.006108078176308,0.8605585231244595,0.2757072448730469
20,muscle,1.0961092929712977,1.0457405854365114,0.39945411682128906
20,phantom,1.5043665444443033,1.4853961800174242,0.43920326232910156
21,carotid,1.0054032220432878,0.8605585231244595,0.2750530242919922
21,muscle,1.095248950285467,1.0457405854365114,0.39855003356933594
21,phantom,1.503313397000519,1.4853961800174242,0.4382038116455078
22,carotid,1.0048248286972883,0.8605585231244595,0.27455711364746094
22,muscle,1.0945794418381056,1.0457405854365114,0.3980293273925781
22,phantom,1.5018418150011568,1.4853961800174242,0.4373893737792969
23,carotid,1.0039887441881545,0.8605585231244595,0.2740650177001953
23,muscle,1.0939257056342073,1.0457405854365114,0.3976116180419922
23,phantom,1.4997635451288625,1.4853961800174242,0.43654632568359375
24,carotid,1.001899197181838,0.8605585231244595,0.2724952697753906
24,muscle,1.0919835324733576,1.0457405854365114,0.396331787109375
24,phantom,1.4937698831413433,1.4853961800174242,0.4340324401855469
25,carotid,1.0018227658258219,0.8605585231244595,0.27215003967285156
25,muscle,1.0915582978558604,1.0457405854365114,0.3954887390136719
25,phantom,1.4941810707110053,1.4853961800174242,0.43347930908203125
