epoch,batches,seconds,peak_cuda_mem_gb,pred_max_abs,has_nan,has_inf,available_memory_gb,D_real,D_fake,D_real_score,D_fake_score,D_loss,G_adv_raw,G_struct_raw,G_struct_unnormalized_raw,G_struct_scale,G_carrier_raw,G_carrier_unnormalized_raw,G_carrier_scale,G_adv_weighted,G_struct_weighted,G_carrier_weighted,G_carrier_skipped,G_total
1,350,455.68966937065125,2.6080894470214844,280800.28125,0,0,52.459903717041016,0.05654346149813916,0.04420835828807737,0.7201824658257621,0.5087724557944706,0.05037590980529785,0.9609875536390713,1.1038284892695291,4759.161594238281,4393.196451939174,1.472636607033866,6391.987834472657,4393.196451939174,0.9609875536390713,1.1038284892695291,0.3681591517584665,0.0,2.432975194454193
2,350,448.6675691604614,2.6080894470214844,280800.28125,0,0,52.62588882446289,0.00880370057986251,0.006774297371905829,0.7295217801843371,0.5011016717127391,0.007788998974221094,0.9963705447741917,1.103432549408504,4757.812547084263,4393.196451939174,1.4723664600508555,6391.066608189174,4393.196451939174,0.9963705447741917,1.103432549408504,0.36809161501271387,0.0,2.4678947033200944
3,350,449.2615566253662,2.6080894470214844,280815.25,0,0,52.74180221557617,0.004968408668480281,0.003950704563342567,0.7301980176993779,0.50060637652874,0.004459556612917887,0.9980974170139858,1.1029516446590424,4756.170921805246,4393.196451939174,1.4720548609324864,6390.000980398995,4393.196451939174,0.9980974170139858,1.1029516446590424,0.3680137152331216,0.0,2.4690627779279435
4,350,449.04687666893005,2.6080894470214844,280804.09375,0,0,52.7542839050293,0.003160371708384316,0.002310137394981991,0.7305114308425359,0.5003737160989217,0.0027352545566723817,0.9992986634799412,1.1024221903937204,4754.3795874023435,4393.196451939174,1.4717120896066938,6388.839029715402,4393.196451939174,0.9992986634799412,1.1024221903937204,0.36792802240167344,0.0,2.469648868015834
5,350,448.1096158027649,2.6080894470214844,280803.40625,0,0,52.70719909667969,0.002730939339879634,0.0021563726588751057,0.7306285297870636,0.500314896787916,0.0024436560032024446,0.9997954480988639,1.1018129767690386,4752.297620675223,4393.196451939174,1.4713164033208574,6387.482279227121,4393.196451939174,0.9997954480988639,1.1018129767690386,0.36782910083021436,0.0,2.4694375228881835
6,350,447.90688252449036,2.6080894470214844,280763.46875,0,0,52.71926498413086,0.002147580989902573,0.0016857575646801186,0.7307383247784206,0.5002103884731021,0.0019166692828626506,1.0001199480465481,1.10114662698337,4750.062949916294,4393.196451939174,1.4708946820667812,6386.067952706473,4393.196451939174,1.0001199480465481,1.10114662698337,0.3677236705166953,0.0,2.468990248271397
7,350,448.0836503505707,2.6080894470214844,280785.71875,0,0,52.70365905761719,0.0025771538688734706,0.002353467559109309,0.7306638543946402,0.5002382054499217,0.002465310710914699,1.0001387066500527,1.1004209169319699,4747.596475306919,4393.196451939174,1.4704227226121085,6384.464163992746,4393.196451939174,1.0001387066500527,1.1004209169319699,0.3676056806530271,0.0,2.4681653029578072
8,350,448.5338478088379,2.6080894470214844,280742.03125,0,0,52.70919418334961,0.001550831170503183,0.0012259446314003852,0.7308344185352326,0.5001370052780424,0.0013883879010765149,1.0000666097232274,1.099643760238375,4744.9553878348215,4393.196451939174,1.4699154216902597,6382.737092633929,4393.196451939174,1.0000666097232274,1.099643760238375,0.3674788554225649,0.0,2.4671892172949654
9,350,448.4613962173462,2.6080894470214844,280797.53125,0,0,52.72109603881836,0.0016836769801531254,0.001385271988443232,0.730831858600889,0.5001155717883792,0.001534474485004986,1.000569930246898,1.098883522748947,4742.412598005022,4393.196451939174,1.469428961958204,6381.106698869978,4393.196451939174,1.000569930246898,1.098883522748947,0.367357240489551,0.0,2.4668107063429696
10,350,448.8861801624298,2.6080894470214844,280902.1875,0,0,52.728389739990234,0.001623551856859454,0.001432257700694858,0.7308265963622502,0.5001660724197116,0.0015279047776545797,1.0004703300339834,1.0979267534187862,4739.123779994419,4393.196451939174,1.4688200082097735,6379.016193847656,4393.196451939174,1.0004703300339834,1.0979267534187862,0.3672050020524434,0.0,2.4656020774160115
