category,n_rois,speckle_snr_mean_over_std_mean,speckle_snr_mean_over_std_std,autocorr_fwhm_z_vox_mean,autocorr_fwhm_z_vox_std,autocorr_fwhm_y_vox_mean,autocorr_fwhm_y_vox_std,autocorr_fwhm_z_mm_mean,autocorr_fwhm_z_mm_std,autocorr_fwhm_y_mm_mean,autocorr_fwhm_y_mm_std
carotid,12,2.106506833447559,0.1289968505112109,7.0170695130881695,0.7745203567836886,3.0418150616566693,0.3775299632910802,0.25401791637379173,0.028037636915569528,0.6083630123313338,0.07550599265821603
muscle,12,2.072053258662279,0.22573417173347313,6.201211084902862,0.8124084236268545,2.9893183078813377,0.6293986504074326,0.22448384127348364,0.029409184935292133,0.5978636615762675,0.12587973008148653
phantom,12,2.120761455570291,0.2838983785395197,6.522773065942361,1.32139354815426,3.112898310846708,1.46369520106243,0.23612438498711344,0.04783444644318422,0.6225796621693417,0.29273904021248603
