epoch,batches,seconds,peak_cuda_mem_gb,available_memory_gb,loss,sup_loss,ssim,l1,d_loss,d_real_loss,d_fake_loss,d_real_score_raw,d_fake_score_raw,d_real_score_sigmoid,d_fake_score_sigmoid,g_adv,g_fake_score_raw,g_fake_score_sigmoid,pred_min,pred_max,pred_mean,pred_std,pred_baseline_l1,baseline_gt_l1,pred_gt_l1,has_nan,has_inf,val_loss,val_ssim,val_l1,val_pred_mean,val_pred_std,val_pred_baseline_l1,val_baseline_gt_l1,val_carotid_pred_std,val_carotid_gt_std,val_muscle_pred_std,val_muscle_gt_std,val_phantom_pred_std,val_phantom_gt_std,bn_layers,bn_running_mean_mean,bn_running_var_mean
1,175,2428.579673051834,4.071910381317139,35.914371490478516,0.8858460235595703,0.7950602262360709,0.09213313959538937,0.2028255272763116,0.360387033692428,0.33073447324335575,0.390039596089295,0.724950469987733,0.3064951637580193,0.6656943556240627,0.569825564793178,0.9078579645710332,0.2268976452127598,0.5508468117032732,0.0002485792491054616,0.9999982118606567,0.372046166402953,0.1527080652117729,0.2891080353089741,0.15036506950855255,0.2028255272763116,0.0,0.0,0.7533204331994057,0.12202075868844986,0.09886189363896847,0.45436595380306244,0.0334981232881546,0.17137289978563786,0.14964335970580578,0.023467485327273607,0.09632845595479012,0.026334184920415282,0.09984172787517309,0.017911080038174987,0.09576937090605497,21,-0.07264872777852274,12745.282889395243
2,175,2699.7688043117523,4.071910381317139,36.17861557006836,0.8553399154118129,0.772249493598938,0.10520070237772805,0.1288631596309798,0.14634238649691855,0.1368380089157394,0.15584676472204073,0.7903414574691228,0.21139248776781772,0.6843116985048566,0.5512044523443494,0.8309042160745178,0.14296929227055183,0.5348774063587188,6.609914746856896e-13,0.9997455477714539,0.49031700594084604,0.16209372903619493,0.18502950421401432,0.15036506950855255,0.1288631596309798,0.0,0.0,0.7640115171670914,0.11039245780557394,0.10463240835815668,0.4903964474797249,0.09795177401974797,0.1453111907467246,0.14964335970580578,0.08301357692107558,0.09632845595479012,0.09087286237627268,0.09984172787517309,0.050368623808026314,0.09576937090605497,21,-0.14351426898723557,13124.556182729346
3,175,2492.947830438614,4.071910381317139,41.69873809814453,0.8429873432431902,0.7789800184113639,0.09647333294153214,0.12511024364403317,0.18683779988970076,0.16678077457738774,0.20689482417489802,0.6784665832349233,0.3253688247555069,0.6611280744416373,0.5787566612448011,0.6400732535549573,0.24752338915797217,0.5604705270699092,5.597743908121016e-13,0.9999474287033081,0.5071259963512421,0.16706123879977636,0.17123772042138236,0.15036506950855255,0.12511024364403317,0.0,0.0,0.7660879790782928,0.10964491218328476,0.11368592828512192,0.42915041372179985,0.10741713177412748,0.19148855470120907,0.14964335970580578,0.07896662782877684,0.09632845595479012,0.08406953187659383,0.09984172787517309,0.06804666761308908,0.09576937090605497,21,-0.17531864057915905,13929.505645574558
4,175,565.9030318260193,4.071910381317139,42.45833206176758,0.8317967687334333,0.7632849345888411,0.11370544250522341,0.11748457027333123,0.17344632923603057,0.16485834745424136,0.18203430968735898,0.67598457634449,0.3268226001188824,0.6607192179134914,0.5796432590484619,0.6851183427231652,0.21357185301370918,0.5523393106460571,4.470225315014739e-28,1.0,0.5185946421963828,0.15265257503305163,0.15487584756953376,0.15036506950855255,0.11748457027333123,0.0,0.0,0.7793984338641167,0.09340379294008017,0.11161026917397976,0.48649076744914055,0.09915166720747948,0.14809436071664095,0.14964335970580578,0.0942722000181675,0.09632845595479012,0.09934641420841217,0.09984172787517309,0.07852107658982277,0.09576937090605497,21,-0.18342051859058084,14906.527452453262
5,175,807.7901647090912,4.071910381317139,42.07676315307617,0.8344762635231018,0.7607132547242301,0.11669910418135779,0.11712828806468419,0.17455369906766074,0.16890989771911077,0.1801975000969001,0.6915115034899542,0.30845777156762777,0.6636697605678014,0.5750439117635999,0.7376300794950553,0.19113262401893735,0.5466742525781904,1.541145398855594e-26,1.0,0.5183794563157218,0.1522216608268874,0.1570966949207442,0.15036506950855255,0.11712828806468419,0.0,0.0,0.7831564322113991,0.0871022529900074,0.10201467107981443,0.4811016730964184,0.11028632707893848,0.1507688034325838,0.14964335970580578,0.08201070176437497,0.09632845595479012,0.09223414864391088,0.09984172787517309,0.08213900495320559,0.09576937090605497,21,-0.20361124768498398,16051.679143960986
6,175,1405.2915456295013,4.071910381317139,41.952125549316406,0.8300118912969316,0.7548474437849862,0.12315001892192023,0.11433424975190844,0.1737131812955652,0.16701060531394823,0.1804157566811357,0.7082829360238143,0.2915521177080726,0.6670680599553245,0.5707644609042576,0.7516444758219378,0.18476579244215308,0.5450549401555742,1.4084029775333073e-15,1.0,0.5183447468280792,0.15461282734360013,0.15667050523417336,0.15036506950855255,0.11433424975190844,0.0,0.0,0.7846297547221184,0.08551986794918776,0.1029154323041439,0.46746544167399406,0.10641603358089924,0.16054815240204334,0.14964335970580578,0.07910367334261537,0.09632845595479012,0.09291987773030996,0.09984172787517309,0.07743294490501285,0.09576937090605497,21,-0.19291391177102923,17090.089374353487
7,175,521.2046747207642,4.071910381317139,42.47250747680664,0.8308392861911229,0.7536089863095965,0.12439403316804341,0.11312501081398556,0.1769137614965439,0.16532256531928266,0.1885049578228167,0.708465129413775,0.2961442658636952,0.6671594183785575,0.5718153282574245,0.772302973717451,0.17306973367663367,0.5422680039065225,4.0215276919980356e-11,1.0,0.5216987374850682,0.14984566931213653,0.1540960757647242,0.15036506950855255,0.11312501081398556,0.0,0.0,0.7850988507270813,0.08403089921921492,0.09803013689815998,0.4807947501540184,0.09944150317460299,0.14976548962295055,0.14964335970580578,0.07708979584276676,0.09632845595479012,0.08519786223769188,0.09984172787517309,0.07770607061684132,0.09576937090605497,21,-0.21862867179637155,18253.27124617781
8,175,495.9650535583496,4.071910381317139,42.433326721191406,0.825580930028643,0.7532822435242789,0.1247804418206215,0.11311150414603097,0.19787966821874892,0.19760233379900455,0.19815700280879225,0.6816961057058403,0.32071347884301626,0.6608802608081272,0.5778751642363412,0.7229868639792715,0.1972566355685038,0.5482222643920354,2.668718779144892e-12,1.0,0.5242862386362893,0.15485542024884905,0.15247140194688524,0.15036506950855255,0.11311150414603097,0.0,0.0,0.7934452816843987,0.07705241441726685,0.11355846747756004,0.43765976279973984,0.12073634937405586,0.18665223382413387,0.14964335970580578,0.0901732537895441,0.09632845595479012,0.09916260372847319,0.09984172787517309,0.09244481660425663,0.09576937090605497,21,-0.20426627446986026,19057.32626043189
9,175,509.1033425331116,4.071910381317139,42.32501983642578,0.8317907299314227,0.7529803340775626,0.12553241487060274,0.1151724442413875,0.1713538272040231,0.16894696124962397,0.17376069304134165,0.7038212077319622,0.29667803691367484,0.6661584295545305,0.5721747149739946,0.7881039604970387,0.15471900861011817,0.5379306049006326,0.016332271184723596,1.0,0.5227456954547337,0.15633020047630583,0.15483380479472025,0.15036506950855255,0.1151724442413875,0.0,0.0,0.7884815484285355,0.08082475140690804,0.10233969148248434,0.4756327234208584,0.11328462418168783,0.15498012490570545,0.14964335970580578,0.0829345122911036,0.09632845595479012,0.09310380928218365,0.09984172787517309,0.0840055737644434,0.09576937090605497,21,-0.2017996165280541,19962.807925716752
10,175,537.2422559261322,4.071910381317139,42.38252639770508,0.833356854234423,0.7523816858019148,0.12605486550501416,0.11417372844048909,0.17823412680200168,0.1769722577716623,0.17949599573654787,0.6992030145440783,0.29905529309479917,0.6649650274004255,0.5727582378046853,0.809751677257674,0.14270100360603205,0.5350106498173305,0.04106802142315102,1.0,0.5266239094734192,0.15779583854334694,0.15186864009925297,0.15036506950855255,0.11417372844048909,0.0,0.0,0.7989332601428032,0.06950926315039396,0.1082566762343049,0.4783278778195381,0.11873533576726913,0.15553398057818413,0.14964335970580578,0.09601116459816694,0.09632845595479012,0.10317014623433352,0.09984172787517309,0.09839103929698467,0.09576937090605497,21,-0.2036845109735926,20999.276940430915
