epoch,batches,seconds,peak_cuda_mem_gb,pred_max_abs,has_nan,has_inf,available_memory_gb,D_real,D_fake,D_real_score,D_fake_score,D_loss,G_adv_raw,G_struct_raw,G_carrier_raw,G_adv_weighted,G_struct_weighted,G_carrier_weighted,G_total
1,350,444.04781460762024,2.6080875396728516,280800.125,0,0,47.760345458984375,0.05665217437515301,0.044224585105798075,0.7201410302094051,0.5087977227994374,0.05043837993006621,0.9610774857657296,4759.008138253348,6391.885999930246,0.9610774857657296,47590.081382533484,3195.942999965123,50786.98556640625
2,350,445.68828105926514,2.6080875396728516,280799.46875,0,0,48.094329833984375,0.00908385259564966,0.007011867196166089,0.7294587567874363,0.50114813378879,0.008047859906884176,0.9963370742116655,4757.325596051897,6390.748920898437,0.9963370742116655,47573.255960518974,3195.3744604492185,50769.626827566964
3,350,475.7326090335846,2.6080875396728516,280797.1875,0,0,48.055328369140625,0.005046460576954165,0.004077199991858963,0.7301675224304199,0.5006088529314313,0.004561830289395792,0.9977241214684077,4755.153540387835,6389.309003557478,0.9977241214684077,47551.53540387835,3194.654501778739,50747.18787946428
4,350,476.59251832962036,2.6080875396728516,280791.15625,0,0,48.01861572265625,0.0032240081831280674,0.002334179822022894,0.7305043034894125,0.5003703502246312,0.002779094007731016,0.9993791537625449,4752.518891601562,6387.576023297991,0.9993791537625449,47525.18891601563,3193.7880116489955,50719.97633091518
5,350,479.76096534729004,2.6080875396728516,280783.5,0,0,48.0296516418457,0.002771385836281947,0.0020802146662026646,0.7306211812155587,0.5002948743104935,0.0024258002633827606,0.9995780224459512,4749.45449672154,6385.567501046317,0.9995780224459512,47494.5449672154,3192.7837505231587,50688.32849609375
6,350,489.90562629699707,2.6080875396728516,280757.4375,0,0,47.99173355102539,0.0021377254232564677,0.0016494084463920444,0.7307458695343563,0.5002168363332749,0.0018935669399797917,0.9999375019754683,4745.975868094308,6383.296535295759,0.9999375019754683,47459.75868094308,3191.6482676478795,50652.40709821429
7,350,503.3360860347748,2.6080875396728516,280749.5625,0,0,47.972042083740234,0.002674600806453132,0.0023511189167454306,0.7306710961886814,0.5002060260091509,0.0025128598685842008,1.0002306127548217,4742.122683105469,6380.78505859375,1.0002306127548217,47421.226831054686,3190.392529296875,50612.61979631696
8,350,498.48831272125244,2.6080875396728516,280738.0625,0,0,48.01122283935547,0.001593482912534715,0.0012676055585533114,0.7308314383029938,0.5001490165506091,0.0014305442352113978,1.0003327757971627,4737.904665178571,6378.041770717075,1.0003327757971627,47379.04665178571,3189.0208853585377,50569.06818638393
9,350,510.1838729381561,2.6080875396728516,280729.09375,0,0,47.91130065917969,0.0017528493370627984,0.0014359172652309228,0.7308217309202467,0.5001129806041718,0.0015943833077991648,1.0006860739844186,4733.338712332589,6375.079059361049,1.0006860739844186,47333.38712332589,3187.5395296805245,50521.927472098214
10,350,514.2322697639465,2.6080875396728516,280727.21875,0,0,47.98567581176758,0.0015515755249985628,0.0013239308597154118,0.7308416274615697,0.5001568407671793,0.0014377531971383308,1.0002978316375188,4728.469754464286,6371.915468052455,1.0002978316375188,47284.697544642855,3185.9577340262276,50471.65546595982
11,350,505.6420884132385,2.6080875396728516,280724.15625,0,0,47.91561508178711,0.0016857796196459926,0.0014509290956526196,0.7308491064820971,0.5001256873777934,0.0015683543585639978,1.0007904532977512,4723.250520019531,6368.541953125,1.0007904532977512,47232.505200195315,3184.2709765625,50417.77697544643
12,350,513.7655985355377,2.6080875396728516,280723.15625,0,0,47.9802360534668,0.0014402710565731727,0.001238079154656069,0.7308815099511827,0.5000778847932815,0.0013391751153228272,1.0005668948377882,4717.760762765067,6364.987422921317,1.0005668948377882,47177.60762765067,3182.4937114606587,50361.10217912946
13,350,514.0686733722687,2.6080875396728516,280722.5,0,0,47.96173095703125,0.0021942955389386044,0.00200437706554242,0.7307250874383109,0.5002611597095217,0.0020993363046519723,1.000379055908748,4711.947689732143,6361.237480119978,1.000379055908748,47119.47689732143,3180.618740059989,50301.09614397321
14,350,520.5662751197815,2.6080875396728516,280713.4375,0,0,47.92131423950195,0.001141315728808487,0.0008544576601915261,0.7309014637129647,0.5000817483663559,0.0009978866959655924,1.0001916597570693,4705.8648434012275,6357.3113413783485,1.0001916597570693,47058.64843401228,3178.6556706891743,50238.30448102679
15,350,518.1228108406067,2.6080875396728516,280706.9375,0,0,47.96068572998047,0.00105303909567218,0.0008773365428039272,0.7309428032806942,0.5000754670585905,0.0009651878195498804,1.0007011468069893,4699.491401367188,6353.204936174665,1.0007011468069893,46994.91401367188,3176.6024680873325,50172.517254464285
16,350,524.2768802642822,2.6080875396728516,280696.96875,0,0,47.95419692993164,0.0014855614344040596,0.0013044799474716585,0.7308577387673514,0.5001153723682676,0.0013950206945550494,1.000390909739903,4692.829628208706,6348.921363002232,1.000390909739903,46928.29628208705,3174.460681501116,50103.757564174106
17,350,518.8583385944366,2.6080875396728516,280683.71875,0,0,47.93226623535156,0.0011050567341901894,0.0008978728940876733,0.7309185934066772,0.5000847415413175,0.0010014648150536232,1.0004610288143159,4685.909160505023,6344.470091378348,1.0004610288143159,46859.09160505022,3172.235045689174,50032.32697265625
18,350,527.0402812957764,2.6080875396728516,280671.65625,0,0,47.96755599975586,0.0013270691996772907,0.0011183865113499841,0.7308939751556941,0.5001078712088721,0.0012227278574053863,1.0011222508975437,4678.691512276786,6339.8422021484375,1.0011222508975437,46786.91512276786,3169.9211010742188,49957.83743861607
19,350,516.7028002738953,2.6080875396728516,280651.28125,0,0,47.90972900390625,0.002760005485199924,0.002412406489269675,0.7306041772024973,0.5003304708855493,0.002586205974387537,1.0008288029261998,4671.22240234375,6335.053673967634,1.0008288029261998,46712.2240234375,3167.526836983817,49880.751925223216
20,350,510.57261061668396,2.6080875396728516,280636.875,0,0,47.96456527709961,0.0014044143781315403,0.0010813882677133994,0.7307946535519191,0.5002102426120213,0.0012429013251676225,1.0004911131518228,4663.449213692801,6330.085748814174,1.0004911131518228,46634.49213692801,3165.042874407087,49800.535633370535
21,350,516.5280725955963,2.6080875396728516,280619.71875,0,0,47.9163703918457,0.0009094680725164445,0.0006628688453513729,0.7309226272787367,0.5000870737007687,0.0007861684643389058,1.0003308345590318,4655.432743791853,6324.963924734933,1.0003308345590318,46554.327437918524,3162.4819623674666,49717.80967912947
22,350,523.9716317653656,2.6080875396728516,280603.3125,0,0,47.904964447021484,0.0009275455457723832,0.0007392723992026212,0.7309295868873597,0.5000663547004972,0.0008334089713337433,1.0003968293326242,4647.131057303292,6319.671152692522,1.0003968293326242,46471.310573032926,3159.835576346261,49632.1466657366
23,350,518.4474244117737,2.6080875396728516,280592.53125,0,0,47.873504638671875,0.0014518354754961495,0.0012795728774965807,0.7308447752680097,0.5001589638846261,0.001365704184198486,1.0005245220661163,4638.561329171317,6314.216225237165,1.0005245220661163,46385.61329171317,3157.1081126185827,49543.72211216518
